               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  84,              1.4188,              1.5968,              1.8629,             0.80159,             0.50606,             0.60506,             0.39883,              1.2872,              1.4221,              1.8551,            0.001783,            0.001783,            0.001783
                  85,              1.3894,              1.5896,              1.8188,             0.80046,             0.51737,              0.6221,             0.41183,              1.2782,              1.4061,              1.8409,            0.001684,            0.001684,            0.001684
                  86,              1.4578,              1.5914,              1.8579,             0.81344,             0.49569,             0.60515,             0.40754,              1.2761,              1.4496,              1.8292,            0.001585,            0.001585,            0.001585
                  87,              1.4392,              1.5912,              1.8495,             0.83609,             0.51526,             0.62651,             0.41646,              1.2762,              1.3968,              1.8213,            0.001486,            0.001486,            0.001486
                  88,              1.4009,              1.5585,               1.833,             0.83145,             0.51263,             0.62166,             0.41648,              1.2551,              1.3772,              1.8093,            0.001387,            0.001387,            0.001387
                  89,              1.4197,              1.5701,              1.8464,             0.80196,             0.52857,             0.63069,             0.42224,               1.239,              1.3781,              1.8048,            0.001288,            0.001288,            0.001288
                  90,              1.3861,              1.5333,              1.8121,             0.82485,             0.52298,             0.63208,             0.42283,              1.2522,              1.3685,              1.8148,            0.001189,            0.001189,            0.001189
                  91,               1.403,                1.56,              1.8349,             0.81732,                0.52,             0.62939,             0.42727,              1.2339,              1.3577,              1.7918,             0.00109,             0.00109,             0.00109
                  92,              1.4121,               1.562,              1.8357,              0.8277,             0.51789,             0.63143,             0.42639,              1.2422,              1.3635,              1.7911,            0.000991,            0.000991,            0.000991
                  93,              1.3822,              1.5469,              1.8218,             0.87247,             0.50316,             0.63269,             0.42609,              1.2297,              1.3402,              1.7887,            0.000892,            0.000892,            0.000892
                  94,              1.3733,               1.492,              1.7935,             0.80238,             0.52737,             0.63325,             0.42662,              1.2307,               1.343,              1.7888,            0.000793,            0.000793,            0.000793
                  95,              1.4118,              1.5451,              1.8225,             0.82224,             0.52421,             0.63696,             0.42888,              1.2327,              1.3414,              1.7844,            0.000694,            0.000694,            0.000694
                  96,              1.3754,              1.5052,              1.7981,             0.81643,             0.52211,             0.63461,             0.42948,              1.2271,              1.3275,              1.7825,            0.000595,            0.000595,            0.000595
                  97,               1.382,              1.5158,              1.8102,             0.80852,             0.53053,             0.63589,             0.42971,              1.2286,              1.3306,              1.7834,            0.000496,            0.000496,            0.000496
                  98,              1.3834,              1.5169,              1.8122,             0.79649,             0.53557,             0.64082,             0.43561,              1.2101,              1.3147,              1.7678,            0.000397,            0.000397,            0.000397
                  99,              1.3893,              1.5289,              1.8115,             0.81242,             0.53474,             0.64235,             0.43695,               1.209,              1.3218,              1.7644,            0.000298,            0.000298,            0.000298
image.png
